kyng,kyne
engl,england
syngular,singular
archebisshops,archbishop
abbattis,abbas
priours,prior
vicars,vicar
curatis,curtis
spirituall,spiritually
persones,persons
meyres,meyers
shiriff,sheriff
baylies,bales
conestables,constables
subgiettis,subtleties
sendeth,send
grettyng,greying
shewyng,shewe
humbl,humble
parisshe,parishes
southmymes,souths
counte,counted
midd,mid
enfourm,enforce
wytnes,wyn
feest,fees
oth,oath
mouabl,movable
goddis,gods
forsayd,foray
mysfortune,misfortune
fyre,fy
asted,asteroid
wherby,whereby
pouerte,pour
hauyng,haying
nothyng,nothing
socoure,source
releue,release
selfe,self
wherfore,whereof
desyred,desired
saffely,safely
realme,realm
gether,gather
alm,alma
deuocion,deduction
christen,christened
ticion,ticking
beyng,bey
inclyned,inclined
fauourably,favorably
haue,haute
receyued,recede
aboue,abounded
sayd,sayed
almes,almagest
dedis,dei
therfore,therefrom
desyre,desire
prelatis,prevails
parsones,parsons
whan,wan
sayde,sayed
seruauntis,servants
shal,shall
receyue,recede
frely,freely
suffre,suffer
departe,departed
mayres,mares
shiriffis,shirts
baylyes,bayly
giettis,gaieties
aforsayd,aforesaid
comaund,command
maynteyne,manthey
seruantis,servants
soeuer,sour
returne,returned
iniury,inquiry
molestacion,molesting
greffe,greet
parsone,parson
trespas,trespasses
tha,thay
eformed,enforced
wherof,whereof
patentis,patents
yere,ye're
presentis,presents
westm,west
viii,visiting
februarii,february
reigne,reigned
corroboration,corroborating
extirpate,extirpated
heresies,here
enormities,enmities
ecclesia,ecclesiastical
annexed,annee
dignities,dignitaries
preeminences,pre-eminent
immunities,immunity
appertaining,appearing
contempts,contempt
lawfully,lawful
hereof,here
forasmuche,farmhouse
agreable,agreeable
bothe,bother
institucion,institution
saide,said
moste,most
bodye,body
bloude,blouse
savyour,saviour
christe,christie
conformable,conformance
commen,commend
practise,practised
thapostles,tastes
primative,primate
churche,churches
yeres,ye're
christs,christ's
assention,assertion
shoulde,shoulder
ministred,ministered
kyndes,kyne
breade,bread
wyne,wynne
forme,former
onelie,onetime
thusage,thus
thapostells,that'll
preist,priest
souvarigne,souvenir
lordes,lords
temporall,temporally
parlament,parliament
thauctoritie,thatt
commenlie,commence
englande,englander
irelande,ireland
dominions,dominion
saie,sadie
excepte,except
necessitie,necessities
ministre,minister
exhorte,exhorting
shalbe,shambled
resorte,resorted
themselfs,themselves
daie,die
prefixed,prefixes
comethe,cometh
godlie,godlike
exhortacion,exhortations
wherin,wherein
benefitt,benefit
comforte,comforted
worthelie,worthwhile
hollie,holley
daunger,danger
indignacion,indignation
unworthelie,unworthy
thende,then
everie,eerie
trye,try
examynn,examining
withowt,without
cawse,case
denye,deny
devoutelie,devote
humblie,humble
anny,annoy
lawe,law
ordenance,ordnance
custome,customer
contrarie,contrarieties
therunto,thereto
condempninge,condemning
trusty,trust
noised,noise
bruted,bruited
afore,aforesaid
papistry,pastry
straightly,straight
prebendaries,preparedness
curate,curative
antiphones,antipodes
missalles,misses
grayles,gray
portasses,ports
ordinalles,ordinates
pre,prep
sarum,sarum's
bangor,bang
deface,defiance
godly,god
misbehaviour,misbehavior
admonish,admonished
excommunication,excommunicated
signet,signed
disquieted,disquietude
marvellously,marvelous
exhort,exhorting
muche,much
dyuerse,dyer
seueral,several
actes,acts
mencioned,mentioned
aswell,asw
diuine,divine
seruice,service
sacramentes,sacraments
diuerse,diverse
whiche,which
founde,founded
lefte,left
authoritie,authorities
catholike,catlike
partely,partly
parte,parted
therof,thereof
newe,newer
thynges,thynnes
feaw,few
singularitie,singularity
selues,selves
deuised,devised
amongest,amongst
dyuers,dyer
straunge,strange
diuersities,diversities
sectes,sects
therby,thereby
growen,grown
disturbaunce,disturbance
comen,comend
welth,wealth
lyke,lyle
growe,grower
extreame,extreme
peryll,perilla
vtter,vattern
onles,ones
behalfe,behalf
prouided,provided
louinge,lounge
subiectes,subjects
bounden,bound
forsee,foresee
prouide,prouder
thuttermoost,thermos
establyshed,established
quenes,queens
hyghnes,highness
acte,acted
begonne,bonne
westmynster,westminster
nouember,november
fyrst,first
yeare,year
reygne,rey
kynge,kyne
ensuynge,ensue
saye,sayed
fyrste,forsythe
intituled,instituted
agaynst,against
suche,such
speake,speaker
bloud,blood
comonly,commonly
aulter,alter
receauinge,receding
byshops,bishops
seales,searles
exercisinge,exercising
iurisdiction,inquisition
ecclesiasticall,ecclesiastical
vse,vase
vpon,von
prorogation,procreation
syxte,system
daye,day
marche,marches
thyrd,thyroid
kynges,kyne
sa,san
cramentes,creates
positiue,positive
lawes,laws
maryage,mary
priestes,priests
parlyament,parliament
thyrde,thyroid
raygne,rage
kinge,king
febru,february
ary,aryl
entituled,entitled
puttyng,putting
bookes,bookies
thordring,thorn
ministres,ministries
ianuary,injury
fyft,fy
edwarde,edwardes
tyl,tyler
apryl,aryl
sixt,sixth
comon,common
keping,keeping
dayes,days
fastinge,fastening
mariage,marriage
theyr,they
euery,every
braunche,branches
conteyned,contented
estatutes,estates
voyde,voyage
adnichilate,annihilate
intentes,intestine
thinge,thing
thinges,things
notwithstandynge,notwithstanding
aforesayd,aforesaid
comenly,comely
vsed,vs
laste,lasted
soueraigne,suzerain
theight,thigh
thousande,thousand
fyue,fy
fyftie,fifties
thre,three
throughe,through
maiesties,maiestie
kynd,kyne
twenteth,twentieth
maner,manner
fourme,foursome
theyght,they
aforesayde,aforesaid
impeched,impelled
molested,molest
goodes,goodies
thusyng,thus
makynge,making
saue,saute
quene,queen
fraunce,france
defendour,defend
hed,held
louing,lounge
faithfull,faithfully
greting,greeting
forasmoche,forage
almightie,almighty
vnto,veneto
mercie,mercier
sixte,site
worthie,worthiest
memorie,memories
croune,crone
impetiall,imperial
realmes,realms
apperteining,appearing
signifie,signified
saied,sailed
dooe,doo
iust,ist
lawefull,lawful
obeie,obedient
liege,lineage
souuetine,subroutine
ladie,ladies
dueties,duets
allegeaunce,allege
finde,finder
benigne,benign
souuerein,soeren
progenitours,proteins
remitting,reciting
thinketh,thinke
rashness,rash
verily,verity
benefices,beneficiaries
soueraine,suzerain
ladye,lady
nultitude,nuclide
highnes,highness
sundrie,sunder
fleinge,fleeing
obeysaunce,obeys
vnder,vendor
whome,whom
heresye,heresy
robberye,robbery
demour,demure
commoraunt,common
lyngryng,lynn
eschewe,eschewed
condigne,consigned
deserue,deserve
partlye,partly
plante,planter
sowe,sow
seedes,seeds
maliciouse,malicious
doctrrine,doctrine
lewde,lewd
conuersation,conversation
amonge,among
infecte,infected
beynge,beinge
heretiques,heretics
assuredlye,assuredly
knowen,known
onely,only
secrete,secreted
practises,practised
fayled,failed
styrre,starre
ayde,aye
desiste,despise
styl,style
rebell,rebel
hauynge,hang
remedie,remedies
herin,heroin
