pubdate,author,title,filename
1591,"Daman, William, ca. 1540-1591.","Bassus. The second booke of the musicke of M. William Damon, late one of her maiesties musitions conteining all the tunes of Dauids Psalmes, as they are ordinarily soung in the Church: most excellently by him composed into 4. parts. In which sett the highest part singeth the church tune. Published for the recreation of such as delight in musicke: by W. Sawyne Gent.",A19795.xml
1567,"Painter, William, 1540?-1594.","The second tome of the Palace of pleasure conteyning store of goodly histories, tragicall matters, and other morall argument, very requisite for delighte and profit. Chosen and selected out of diuers good and commendable authors: by William Painter, clerke of the ordinance and armarie. Anno. 1567.",A08840.xml
1566,"Phillips, John.","The Examination and confession of certaine wytches at Chensforde in the countie of Essex : before the Quenes Maiesties judges, the xxvi daye of July, anno 1566, at the assise holden there as then, and one of them put to death for the same offence, as their examination declareth more at large.",A09586.xml
1596,"Savile, Henry, Captain.","A libell of Spanish lies found at the sacke of Cales, discoursing the fight in the West Indies, twixt the English nauie being fourteene ships and pinasses, and a fleete of twentie saile of the king of Spaines, and of the death of Sir Francis Drake. With an answere briefely confuting the Spanish lies, and a short relation of the fight according to truth, written by Henrie Sauile Esquire, employed captaine in one of her Maiesties shippes, in the same seruice against the Spaniard. And also an approbation of this discourse, by Sir Thomas Baskeruile, then generall of the English fleete in that seruice: auowing the maintenance thereof, personally in armes against Don Bernaldino ...",A20114.xml
1588,"González de Mendoza, Juan, 1545-1618.","The historie of the great and mightie kingdome of China, and the situation thereof togither with the great riches, huge citties, politike gouernement, and rare inuentions in the same. Translated out of Spanish by R. Parke.",A01864.xml
1576,"Rogers, Thomas, d. 1616.","A philosophicall discourse, entituled, The anatomie of the minde. Nevvlie made and set forth by T.R.",A10969.xml
1558,England and Wales. Sovereign (1553-1558 : Mary I),"By the Kynge and the Quene whereas dyuers bokes filled bothe with heresye, sedityon and treason, haue of late, and be dayly broughte into thys realme out of forreine countries ... and some also  couertly printed within this realme ...",A21578.xml
1588,"Aske, James.","Elizabetha triumphans Conteyning the dammed practizes, that the diuelish popes of Rome haue vsed euer sithence her Highnesse first comming to the Crowne, by mouing her wicked and traiterous subjects to rebellion and conspiracies, thereby to bereaue her Maiestie both of her lawfull seate, and happy life. VVith a declaration of the manner how her excellency was entertained by her souldyers into her campe royall at Tilbery in Essex: and of the ouerthrow had against the Spanish fleete: briefly, truly, and effectually set foorth. Declared, and handled by I.A.",A22071.xml
1587,"Phillips, John, fl. 1570-1591.","The life and death of Sir Phillip Sidney, late lord gouernour of Flushing his funerals solemnized in Paules Churche where he lyeth interred; with the whole order of the mournfull shewe, as they marched thorowe the citie of London, on Thursday the 16 of February. 1587.",A09592.xml
1559,"Marckant, John.","The purgacion of the ryght honourable lord Wentworth concerning the crime layde to his charge, made the. x. of Ianuarie. Anno. M.D.L.viii.",A06879.xml
1607,"Dekker, Thomas, ca. 1572-1632.","Vvest-vvard hoe As it hath been diuers times acted by the Children of Paules. By Tho: Decker, and Iohn Webster.",A20100.xml
1633,"Stafford, Thomas, Sir, fl. 1633.","Pacata Hibernia Ireland appeased and reduced· Or, an historie of the late vvarres of Ireland, especially within the province of Mounster, vnder the government of Sir George Carew, Knight, then Lord President of that province, and afterwards Lord Carevv of Clopton, and Earle of Totnes, &c. VVherein the siedge of Kinsale, the defeat of the Earle of Tyrone, and his armie; the expulsion and sending home of Don Iuan de Aguila, the Spanish generall, with his forces; and many other remarkeable passages of that time are related. Illustrated with seventeene severall mappes, for the better understanding of the storie.",A12824.xml
1608,"Lever, Christopher, fl. 1627.","Heauen and earth, religion and policy. Or, The maine difference betweene religion and policy. Written by C.L.",A05380.xml
1614,"Hayne, Thomas, 1582-1645, attributed name. aut","A briefe discourse of the scriptures Declaring the seuerall stories, liues, and deaths, of the fathers, from the Creation of Adam, vnto the death of Ioseph: very necessarie to be read and practised, for easie vnderstanding of the Scriptures in a short time.",A68150.xml
1590,"Hitchcock, Robert, Captain.","The quintesence of wit being a corrant comfort of conceites, maximies, and poleticke deuises, selected and gathered together by Francisco Sansouino. VVherin is set foorth sundrye excellent and wise sentences, worthie to be regarded and followed. Translated out of the Italian tung, and put into English for the benefit of all those that please to read and vnderstand the works and worth of a worthy writer.",A11493.xml
1521,"Christine, de Pisan, ca. 1364-ca. 1431.","Here begynneth the booke whiche is called the body of polycye And it speketh of vertues and of good maners, and the sayd boke is deuyded in thre partyes. The fyrst party is adressed to prynces. The seconde to knyghtes and nobles: and the thyrde to the vnyuersal people. The fyrst chapytre speketh of the dyscrypcyon of the body of polycye.",A20896.xml
1601,N/A,"A liuing remembrance of Master Robert Rogers, marchant aduenturer & leatherseller of London deceased, who declared the fruites of his faith, by his most christian & charitable workes And left this life at his house in Bassings-hall the 22. of September. And was buried in Christ-church on Thursday the 1. of October. 1601.",A10955.xml
1554,England and Wales. Sovereign (1553-1558 : Mary I),"By the Quene the Quenes highnes by thaduise and consente of her graces priuie counsayll is pleased & doth ordayne, that from the date and publication hereof forwardes, all maner Frenche crownes of the sunne, being of the iuste standerde finesse and weyght shalbe demed and accepted to be of the value of sixe shyllynges foure pence of curraunte  moneye of this realme ...",A21550.xml
1560,"Knox, John, ca. 1514-1572.","An answer to a great nomber of blasphemous cauillations written by an Anabaptist, and aduersarie to Gods eternal predestination. And confuted by Iohn Knox, minister of Gods worde in Scotland. Wherein the author so discouereth the craft and falshode of that sect, that the godly knowing that error, may be confirmed in the trueth by the euident Worde of God",A04920.xml
1578,"Baldwin, William, ca. 1518-1563?","The last part of the Mirour for magistrates wherein may be seene by examples passed in this realme, vvith howe greenous [sic] plagues, vyces are punished in great princes & magistrats, and hovv frayle and vnstable vvorldly prosperity is founde, where fortune seemeth most highly to fauour.",A02389.xml
1584,Herodotus.,"The famous hystory of Herodotus Conteyning the discourse of dyuers countreys, the succession of theyr kyngs: the actes and exploytes atchieued by them: the lavves and customes of euery nation: with the true description and antiquitie of the same. Deuided into nine bookes, entituled vvith the names of the nine Muses.",A03097.xml
