Threshold: 50%
F-Score weight: 1.0
File	Total Words	Variants	Normalised	Non-variants	Total Tokens	Variant Tokens	Normalised Tokens	Non-variant Tokens
/charles/CommonBookOfPrayer_CharlesII_1662.txt	1473	55	79	1339	9135	78	116	8941
/charles/TheKing'sDeclarationPrefixedToTheArticlesOfReligion_CharlesI_1628.txt	281	0	0	281	704	0	0	704
/charles/TheKing'sMajesty'sDeclarationToHisSubjectsConcerningLawfulSportsToBeUsed_CharlesI_1633.txt	487	16	4	467	1514	18	4	1492
/charles/WestminsterConfession_1647.txt	1942	84	56	1802	15308	368	400	14540
/charles/church_etcaeteraoath_1640.txt	93	3	0	90	161	3	0	158
/charles/people_alookingglass_1626.txt	321	14	60	247	643	15	70	558
/charles/people_commentstopope_1625.txt	230	10	38	182	445	11	49	385
/charles/people_justificationofthesynod_1647.txt	314	25	46	243	683	29	48	606
/charles/people_lordsprayer_1641.txt	392	6	65	321	908	8	76	824
/charles/people_rootandbranchpetition_1640.txt	869	49	6	814	2487	67	8	2412
/charles/people_sinnersredemption_1634.txt	373	8	57	308	780	10	70	700
/charles/people_songofsyon_1642.txt	353	21	57	275	759	50	65	644
/charles/people_warningtoswearers_1626.txt	787	84	166	537	1776	90	235	1451
/edward/AnActOfUniformity_Edward_1549.txt	243	19	102	122	762	35	219	508
/edward/DiaryofHenryMachyn_155053.txt	6847	3027	1341	2479	45327	9218	5956	30153
/edward/DukeofNorthumberland_1552.txt	226	4	2	220	500	4	2	494
/edward/EdwardVItoBishops2_Edward_1551.txt	270	11	4	255	663	11	5	647
/edward/EdwardVItoBishops_Edward_1551.txt	257	1	0	256	530	1	0	529
/edward/EdwardVItoBonner_Edward_1549.txt	260	3	0	257	598	3	0	595
/edward/KingEdwardWesternRebels_Edward_1549.txt	466	4	5	457	1413	5	5	1403
/edward/PPLApprenticetoCromwell_1552.txt	388	8	9	371	1096	21	9	1066
/edward/PPLCranmertoPrivyCouncil_1552.txt	340	3	3	334	891	4	3	884
/edward/SacramentAct_EdwardVI_1547.txt	170	19	61	90	347	21	84	242
/elizabeth/ALearnedDiscourseonJustification_Hooker_1585.txt	2541	136	154	2251	20376	232	268	19876
/elizabeth/ActAgainstJesuitsandSeminarists_Elizabeth_1585.txt	473	10	0	463	2318	26	0	2292
/elizabeth/ApologyoftheChurchofEngland_1562.txt	4193	479	187	3527	41657	793	364	40500
/elizabeth/CommonBookOfPrayer_1559.txt	5397	703	2287	2407	72138	4658	12575	54905
/elizabeth/ElizabethsActofUniformity_Elizabeth_1559.txt	519	15	2	502	2871	29	6	2836
/elizabeth/ElizabethsSupremacyAct_Elizabeth_1559.txt	758	34	6	718	5281	63	17	5201
/elizabeth/QueenElizabethsProclamationtoForbidPreaching_Elizabeth_1558.txt	208	2	4	202	409	2	4	403
/elizabeth/SpeakertoLordBurghley_1572.txt	179	5	1	173	343	5	1	337
/elizabeth/TheActAgainstPuritans_Elizabeth_1593.txt	482	17	2	463	2109	25	2	2082
/elizabeth/TheActAgainstRecusants_Elizabeth_1593.txt	549	19	3	527	3095	40	6	3049
/elizabeth/TheInjunctionsof1559_Elizabeth_1559.txt	1464	56	22	1386	7099	76	30	6993
/elizabeth/TheSubscriptionAct_Elizabeth_1571.txt	308	7	2	299	950	13	2	935
/elizabeth/crown_elizabethprivatecorrespondence.txt	10780	2901	3245	4634	79949	4923	9676	65350
/elizabeth/people_lamentationfromrome_1570.txt	320	25	93	202	704	26	114	564
/elizabeth/people_lawsofecclesiasticalpolity_richardhooker_1594.txt	6723	1855	556	4312	58742	2912	1054	54776
/elizabeth/people_newyearsgift_1571.txt	594	40	205	349	1517	45	256	1216
/elizabeth/people_prayerelizabeth_1577.txt	293	17	66	210	712	34	84	594
/elizabeth/people_thanksforchurchyard_1566.txt	206	8	61	137	325	8	69	248
/henry/ChurchCardinaltoHenryVIIIDivorce_1527.txt	274	3	2	269	709	4	2	703
/henry/ChurchNewEnglishLitany_1544.txt	160	10	5	145	408	12	8	388
/henry/CrownAgainstNunBarton_1534.txt	257	8	3	246	707	8	6	693
/henry/LutherAgainstHenryVIII_1522.txt	3075	102	30	2943	26007	342	33	25632
/henry/MercerWill_1522.txt	190	13	9	168	414	17	9	388
/henry/PPLConservativeOpinion_1535.txt	214	16	10	188	517	17	13	487
