File Name,Title,Year,Monarch,Type
henry/TheActOfSupremacy_HenryVIII_1534.txt,The Act of Supremacy,1534,Henry VIII,Crown
edward/SacramentAct_EdwardVI_1547.txt,Sacrament Act,1547,Edward VI,Crown
edward/EdwardVItoBishops2_Edward_1551.txt,Edward V to Bishops Second Edition,1551,Edward VI,Crown
edward/EdwardVItoBishops_Edward_1551.txt,Edward V to Bishops,1551,Edward VI,Crown
mary/RepealofEdwardVI_MaryI_1553.txt,Repeal of Edward VI,1553,Mary I,Crown
mary/Proclamation_MaryI_1553.txt,Proclamation,1553,Mary I,Crown
mary/MaryTudortoPrivyCouncil_Mary_1554.txt,Mary Tudor to the Privy Council,1554,Mary I,Crown
mary/NoIdeaWhatThisIs_MaryI_1554.txt,Proclamation Against Non-Citizens,1554,Mary I,Crown
elizabeth/QueenElizabethsProclamationtoForbidPreaching_Elizabeth_1558.txt,Proclamation to Forbid Preaching,1558,Elizabeth I,Crown
elizabeth/ElizabethsActofUniformity_Elizabeth_1559.txt,Act of Uniformity,1559,Elizabeth I,Crown
elizabeth/ElizabethsSupremacyAct_Elizabeth_1559.txt,Supremacy Act,1559,Elizabeth I,Crown
elizabeth/TheInjunctionsof1559_Elizabeth_1559.txt,The Injunctions of 1559,1559,Elizabeth I,Crown
elizabeth/TheSubscriptionAct_Elizabeth_1571.txt,The Subscription Act,1571,Elizabeth I,Crown
elizabeth/TheActAgainstPuritans_Elizabeth_1593.txt,The Act Against Puritans,1593,Elizabeth I,Crown
elizabeth/TheActAgainstRecusants_Elizabeth_1593.txt,The Act Against Recusants,1593,Elizabeth I,Crown
james/James'ProclamationForTheUseOfTheBookOfCommonPrayer_JamesI_1604.txt,Proclamation For The Use of the Book of Common Prayer,1604,James I,Crown
james/DirectionConcerningPreachers_JamesI_1622.txt,Direction Concerning Preachers,1622,James I,Crown
charles/TheKing'sDeclarationPrefixedToTheArticlesOfReligion_CharlesI_1628.txt,Declaration Prefixed to the Articles of Religion,1628,Charles I,Crown
charles/TheKing'sMajesty'sDeclarationToHisSubjectsConcerningLawfulSportsToBeUsed_CharlesI_1633.txt,Declaration to his Subjects Concerning Lawful Sports to be Used,1633,Charles I,Crown
elizabeth/ActAgainstJesuitsandSeminarists_Elizabeth_1585.txt,Act Against Jesuits and Seminarists,1585,Elizabeth I,Crown
mary/Act_MaryI_1555.txt,Act,1555,Mary I,Crown
